"state","year","race","rate","cancer"
"Washington",2021,"Asian",11.2,"breast"
"Washington",2021,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Washington",2021,"Multiple_Races",NA,"breast"
"Washington",2021,"Overall",19.3,"breast"
"West Virginia",2021,"White",22.9,"breast"
"West Virginia",2021,"Black",NA,"breast"
"West Virginia",2021,"Hispanic",NA,"breast"
"West Virginia",2021,"American_Indian_AlaskaNative",NA,"breast"
"West Virginia",2021,"Asian",NA,"breast"
"West Virginia",2021,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"West Virginia",2021,"Multiple_Races",NA,"breast"
"West Virginia",2021,"Overall",22.3,"breast"
"Wisconsin",2021,"White",17.3,"breast"
"Wisconsin",2021,"Black",25.7,"breast"
"Wisconsin",2021,"Hispanic",NA,"breast"
"Wisconsin",2021,"American_Indian_AlaskaNative",NA,"breast"
"Wisconsin",2021,"Asian",NA,"breast"
"Wisconsin",2021,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Wisconsin",2021,"Multiple_Races",NA,"breast"
"Wisconsin",2021,"Overall",17.4,"breast"
"Wyoming",2021,"White",22.9,"breast"
"Wyoming",2021,"Black",NA,"breast"
"Wyoming",2021,"Hispanic",NA,"breast"
"Wyoming",2021,"American_Indian_AlaskaNative",NA,"breast"
"Wyoming",2021,"Asian",NA,"breast"
"Wyoming",2021,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Wyoming",2021,"Multiple_Races",NA,"breast"
"Wyoming",2021,"Overall",22.3,"breast"
"United States",2022,"White",19,"breast"
"United States",2022,"Black",26.1,"breast"
"United States",2022,"Hispanic",13.5,"breast"
"United States",2022,"American_Indian_AlaskaNative",14.4,"breast"
"United States",2022,"Asian",11.5,"breast"
"United States",2022,"Native_Hawaiian_Pacific_Islander",20.4,"breast"
"United States",2022,"Multiple_Races",9.3,"breast"
"United States",2022,"Overall",18.8,"breast"
"Alabama",2022,"White",18.6,"breast"
"Alabama",2022,"Black",27.7,"breast"
"Alabama",2022,"Hispanic",NA,"breast"
"Alabama",2022,"American_Indian_AlaskaNative",NA,"breast"
"Alabama",2022,"Asian",NA,"breast"
"Alabama",2022,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Alabama",2022,"Multiple_Races",NA,"breast"
"Alabama",2022,"Overall",20.4,"breast"
"Alaska",2022,"White",19.6,"breast"
"Alaska",2022,"Black",NA,"breast"
"Alaska",2022,"Hispanic",NA,"breast"
"Alaska",2022,"American_Indian_AlaskaNative",NA,"breast"
"Alaska",2022,"Asian",NA,"breast"
"Alaska",2022,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Alaska",2022,"Multiple_Races",NA,"breast"
"Alaska",2022,"Overall",16.2,"breast"
"Arizona",2022,"White",20,"breast"
"Arizona",2022,"Black",33.8,"breast"
"Arizona",2022,"Hispanic",13.2,"breast"
"Arizona",2022,"American_Indian_AlaskaNative",NA,"breast"
"Arizona",2022,"Asian",NA,"breast"
"Arizona",2022,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Arizona",2022,"Multiple_Races",NA,"breast"
"Arizona",2022,"Overall",18.9,"breast"
"Arkansas",2022,"White",21,"breast"
"Arkansas",2022,"Black",27.7,"breast"
"Arkansas",2022,"Hispanic",NA,"breast"
"Arkansas",2022,"American_Indian_AlaskaNative",NA,"breast"
"Arkansas",2022,"Asian",NA,"breast"
"Arkansas",2022,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Arkansas",2022,"Multiple_Races",NA,"breast"
"Arkansas",2022,"Overall",20.6,"breast"
"California",2022,"White",21.3,"breast"
"California",2022,"Black",30.2,"breast"
"California",2022,"Hispanic",14.9,"breast"
"California",2022,"American_Indian_AlaskaNative",21.8,"breast"
"California",2022,"Asian",13.1,"breast"
"California",2022,"Native_Hawaiian_Pacific_Islander",26.6,"breast"
"California",2022,"Multiple_Races",13.1,"breast"
"California",2022,"Overall",18.8,"breast"
"Colorado",2022,"White",19,"breast"
"Colorado",2022,"Black",24.3,"breast"
"Colorado",2022,"Hispanic",12.4,"breast"
"Colorado",2022,"American_Indian_AlaskaNative",NA,"breast"
"Colorado",2022,"Asian",NA,"breast"
"Colorado",2022,"Native_Hawaiian_Pacific_Islander",NA,"breast"
"Colorado",2022,"Multiple_Races",NA,"breast"
"Colorado",2022,"Overall",18.1,"breast"
"Connecticut",2022,"White",17.1,"breast"
"Connecticut",2022,"Black",25.2,"breast"
"Connecticut",2022,"Hispanic",NA,"breast"
"Connecticut",2022,"American_Indian_AlaskaNative",NA,"breast"
"Connecticut",2022,"Asian",NA,"breast"
