"state","year","race","rate","disease"
"New York",2020,"Overall",484.9,"chlamydia"
"North Carolina",2020,"White",214.5,"chlamydia"
"North Carolina",2020,"Black",NA,"chlamydia"
"North Carolina",2020,"Hispanic",454,"chlamydia"
"North Carolina",2020,"AmericanIndian_AlaskaNative",583.6,"chlamydia"
"North Carolina",2020,"Asian",116.4,"chlamydia"
"North Carolina",2020,"Native.Hawaiian.or.Pacific.Islander",845.6,"chlamydia"
"North Carolina",2020,"Multiple.races",113.3,"chlamydia"
"North Carolina",2020,"Overall",618.1,"chlamydia"
"North Dakota",2020,"White",257.2,"chlamydia"
"North Dakota",2020,"Black",NA,"chlamydia"
"North Dakota",2020,"Hispanic",316.4,"chlamydia"
"North Dakota",2020,"AmericanIndian_AlaskaNative",NA,"chlamydia"
"North Dakota",2020,"Asian",148.3,"chlamydia"
"North Dakota",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"North Dakota",2020,"Multiple.races",774.4,"chlamydia"
"North Dakota",2020,"Overall",457.3,"chlamydia"
"Ohio",2020,"White",195.8,"chlamydia"
"Ohio",2020,"Black",NA,"chlamydia"
"Ohio",2020,"Hispanic",382.6,"chlamydia"
"Ohio",2020,"AmericanIndian_AlaskaNative",215.3,"chlamydia"
"Ohio",2020,"Asian",86.8,"chlamydia"
"Ohio",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Ohio",2020,"Multiple.races",NA,"chlamydia"
"Ohio",2020,"Overall",504.8,"chlamydia"
"Oklahoma",2020,"White",282.3,"chlamydia"
"Oklahoma",2020,"Black",NA,"chlamydia"
"Oklahoma",2020,"Hispanic",491.5,"chlamydia"
"Oklahoma",2020,"AmericanIndian_AlaskaNative",536,"chlamydia"
"Oklahoma",2020,"Asian",137.4,"chlamydia"
"Oklahoma",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Oklahoma",2020,"Multiple.races",716.8,"chlamydia"
"Oklahoma",2020,"Overall",535.3,"chlamydia"
"Oregon",2020,"White",199.1,"chlamydia"
"Oregon",2020,"Black",914.4,"chlamydia"
"Oregon",2020,"Hispanic",376.8,"chlamydia"
"Oregon",2020,"AmericanIndian_AlaskaNative",496.9,"chlamydia"
"Oregon",2020,"Asian",148,"chlamydia"
"Oregon",2020,"Native.Hawaiian.or.Pacific.Islander",299.6,"chlamydia"
"Oregon",2020,"Multiple.races",111.2,"chlamydia"
"Oregon",2020,"Overall",373.9,"chlamydia"
"Pennsylvania",2020,"White",144.4,"chlamydia"
"Pennsylvania",2020,"Black",NA,"chlamydia"
"Pennsylvania",2020,"Hispanic",508.5,"chlamydia"
"Pennsylvania",2020,"AmericanIndian_AlaskaNative",306,"chlamydia"
"Pennsylvania",2020,"Asian",96.1,"chlamydia"
"Pennsylvania",2020,"Native.Hawaiian.or.Pacific.Islander",865.5,"chlamydia"
"Pennsylvania",2020,"Multiple.races",NA,"chlamydia"
"Pennsylvania",2020,"Overall",402.4,"chlamydia"
"Rhode Island",2020,"White",176.9,"chlamydia"
"Rhode Island",2020,"Black",NA,"chlamydia"
"Rhode Island",2020,"Hispanic",642.8,"chlamydia"
"Rhode Island",2020,"AmericanIndian_AlaskaNative",366.1,"chlamydia"
"Rhode Island",2020,"Asian",170.4,"chlamydia"
"Rhode Island",2020,"Native.Hawaiian.or.Pacific.Islander",587.4,"chlamydia"
"Rhode Island",2020,"Multiple.races",607.3,"chlamydia"
"Rhode Island",2020,"Overall",430,"chlamydia"
"South Carolina",2020,"White",136,"chlamydia"
"South Carolina",2020,"Black",748.5,"chlamydia"
"South Carolina",2020,"Hispanic",213.8,"chlamydia"
"South Carolina",2020,"AmericanIndian_AlaskaNative",131.6,"chlamydia"
"South Carolina",2020,"Asian",61.7,"chlamydia"
"South Carolina",2020,"Native.Hawaiian.or.Pacific.Islander",358.9,"chlamydia"
"South Carolina",2020,"Multiple.races",124.3,"chlamydia"
"South Carolina",2020,"Overall",665,"chlamydia"
"South Dakota",2020,"White",226.4,"chlamydia"
"South Dakota",2020,"Black",NA,"chlamydia"
"South Dakota",2020,"Hispanic",592.1,"chlamydia"
"South Dakota",2020,"AmericanIndian_AlaskaNative",NA,"chlamydia"
"South Dakota",2020,"Asian",173.4,"chlamydia"
"South Dakota",2020,"Native.Hawaiian.or.Pacific.Islander",546.4,"chlamydia"
"South Dakota",2020,"Multiple.races",NA,"chlamydia"
"South Dakota",2020,"Overall",455.9,"chlamydia"
"Tennessee",2020,"White",306.1,"chlamydia"
"Tennessee",2020,"Black",NA,"chlamydia"
"Tennessee",2020,"Hispanic",608,"chlamydia"
"Tennessee",2020,"AmericanIndian_AlaskaNative",188.8,"chlamydia"
"Tennessee",2020,"Asian",150.3,"chlamydia"
"Tennessee",2020,"Native.Hawaiian.or.Pacific.Islander",NA,"chlamydia"
"Tennessee",2020,"Multiple.races",171.3,"chlamydia"
"Tennessee",2020,"Overall",547.8,"chlamydia"
"Texas",2020,"White",149.9,"chlamydia"
"Texas",2020,"Black",745.5,"chlamydia"
"Texas",2020,"Hispanic",291.7,"chlamydia"
